grade,kor_name,eng_name,Abbreviation,synonym_1,synonym_2,synonym_3,synonym_4,synonym_5
4,장흡충증,Metagonimiasis,,,장내 흡충,장흡충 감염,,
4,수족구병,"Hand, foot and mouth disease",HFMD,enterovirus 71,coxsackievirus,,,
4,임질,Gonorrhea,,,임균감염증,,,
4,클라미디아감염증,Chlamydial Infection,,,,,,
4,연성하감,Chancroid,,,찬크로이드,,,
4,성기단순포진,Genital herpes,,,,,,
4,첨규콘딜롬,Condyloma acuminata,,,곤지름,콘딜로마,,
4,반코마이신내성장알균 감염증,Vancomycin-Resistant Enterococci,VRE,,반코마이신 내성 장구균 감염증,,,
4,메티실린내성황색포도알균 감염증,Methicillin-Resistant Staphylococcus aureus,MRSA,,메타실린 내성 황색포도상구균 감염증,,,
4,다제내성녹농균 감염증,Multidrug-resistant Pseudomonas aeruginosa,MRPA,,,,,
4,다제내성아시네토박터바우마니균 감염증,Multidrug-resistant Acinetobacter baumannii,MRAB,,,,,
4,장관감염증,Intestinal infectious disease,,gastrointestinal infection,위장관감염증,,,
4,살모넬라균 감염증,Salmonellosis,,,살모넬라증,,,
4,장염비브리오균 감염증,Vibrio parahaemolyticus gastroenteritis,,,,,,
4,장독소성대장균 감염증,Enterotoxigenic Escherichia coli,ETEC,,,,,
4,장침습성대장균 감염증,Enteroinvasive Escherichia coli,EIEC,,,,,
4,장병원성대장균 감염증,Enteropathogenic Escherichia coli,EPEC,,,,,
4,캄필로박터균 감염증,Campylobacterosis,,,캄필로박터 식중독,캄필로박터 위장관 감염병,,
4,클로스트리듐 퍼프린젠스 감염증,Clostridium perfringens enteritis,,C.perfringens,클로스트리디움 퍼프린젠스,C.퍼프린젠스,,
4,황색포도알균 감염증,Staphylococcus aureus Intoxication,,,,,,
4,바실루스 세레우스균 감염증,Bacillus cereus gastroenteritis,,B.cereus,B.세레우스,,,
4,예르시니아 엔테로콜리티카 감염증,Yersiniosis,,,장외예르시니아증,예르시니아증,,
4,리스테리아 모노사이토제네스 감염증,Listeriosis,,,리스테리아 감염증,리스테리아증,,
4,그룹 A형 로타바이러스 감염증,Group A Rotavirus infection,RVA,rota,로타바이러스 A,A군 로타바이러스,로타,
4,아스트로바이러스 감염증,Astrovirus infection,,,,,,
4,장내 아데노바이러스 감염증,Enteric adenovirus infection,,,,,,
4,노로바이러스 감염증,Noroviral infection,,,노로바이러스 위장관염,노로,,
4,사포바이러스 감염증,Sapoviral infection,,,사포바이러스증,사포바이러스 위장관염,,
4,이질아메바 감염증,"Amoebiasis, amoebic dysentery",,,아메바성 이질,,,
4,람블편모충 감염증,Giardiasis,,,람블편모충증,,,
4,작은와포자충 감염증,Cryptosporidiosis,,,와포자충증,크립토스포리디움증,,
4,원포자충 감염증,Cyclosporiasis,,,원자포충증,,,
4,급성호흡기감염증,Acute respiratory infection,,,,,,
4,아데노바이러스 감염증,Adenovirus infection,,,,,,
4,사람 보카바이러스 감염증,Human bocavirus infection,HBoV,,HBoV 감염증,,,
4,파라인플루엔자바이러스 감염증,Parainfluenza virus infection,HPIV,,HPIV 감염증,,,
4,호흡기세포융합바이러스 감염증,Respiratory syncytial virus infection,RSV,,,,,
4,리노바이러스 감염증,Rhinovirus infection,,,리노바이러스성 감기,,,
4,사람 메타뉴모바이러스 감염증,Human metapneumovirus infection,HMPV,,HMPV 감염증,휴먼 메타뉴모바이러스 감염증,,
4,사람 코로나바이러스 감염증,Human coronavirus infection,,,,,,
4,마이코플라스마폐렴균감염증,Mycoplasma pneumoniae infection,,,마이코플라스마 폐렴,,,
4,클라미디아폐렴균감염증,Chlamydia pneumoniae infection,,,,,,
4,해외유입기생충감염증,,,,,,,
4,리슈만편모충증,Leishmaniasis,,,리슈마니아증,,,
4,바베스열원충증,Babesiosis,,Babesia infection,바베시아증,,,
4,아프리카수면병,African Trypanosomiasis,,,트리파노소마증,,,
4,주혈흡충증,Schistosomiasis,,Bilharziasis,빌하르시아스증,슈스토조스병,,
4,샤가스병,Chagas’ disease,,American trypanosomiasis,아메리칸 트리파노소마병,크루즈병,,
4,광동주혈선충증,Angiostrongyliasis,,,,,,
4,악구충증,Gnathostomiasis,,,그노스토마증,,,
4,사상충증,Filariasis,,,필라리아증,,,
4,포충증,Echinococcosis,,Hydatidosis,에키노코쿠스증,,,
4,톡소포자충증,Toxoplasmosis,,,톡소플라스마,톡소플라즈마증,,
4,메디나충증,Dracunculiasis,Guinea worm disease,,드라쿤쿨루스증,기니충병,,
4,엔테로바이러스감염증,Enterovirus infection,,,,,,
4,사람유두종바이러스 감염증,Human papillomavirus infection,HPV,,,,,
4,코로나바이러스감염증-19,COVID-19,,covid,코로나19,코비드19,,
0,쿠도아충증,Kudoa septempunctata infection,,,쿠도아증,쿠도아 감염증,,
0,장부착성대장균 감염증,Enteroaggregative Escherichia coli,EAEC,,,,,
0,옴,Scabies,,,개선증,,,
